id_estudiante,nombre,anio_ingreso,ciclo,carrera,sociabilidad,comorbilidad,mascarilla
U202000046,Alejandro Carranza Escobar,2020,10,Comunicación y Periodismo,1,0,0
U202100047,Santiago Flores Paredes,2021,8,Psicología Educacional,0.56,0,0
U202000048,Mauro Huamani Castañeda,2020,10,Comunicación y Marketing,0.61,0,0
U202400049,Emilia Castro Castañeda,2024,2,Administración y Finanzas,0.79,0,0
U202000050,Mauro Ramirez Quispe,2020,10,Contabilidad y Administración,0.44,1,0
U202000051,Andrea Soto Paredes,2020,10,Comunicación y Periodismo,0.59,0,0
U202200052,Noelia Rojas Valdez,2022,6,Ingeniería de Gestión Empresarial,0.95,0,0
U201800053,Matias Gomez Quispe,2018,10,Contabilidad y Finanzas,0.33,0,0
U202300054,Roxana Huamani Ibarra,2023,5,Psicología Educacional,0.83,0,0
U202400055,Valeria Valverde Romero,2024,3,Administración y Finanzas,0.74,0,0
U201700056,Ignacio Garcia Ortega,2017,10,Derecho,0.69,0,0
U201700057,Renata Lopez Quispe,2017,10,Ingeniería de Software,0.83,0,0
U202100058,Franco Soto Romero,2021,8,Ingeniería Industrial,0.5,0,0
U202400059,Pablo Paredes Delgado,2024,2,Relaciones Internacionales,0.74,0,0
U201800060,Sebastian Valverde Hernandez,2018,10,Administración y Finanzas,0.71,0,0
U201900061,Mauro Alvarez Campos,2019,10,Ingeniería de Sistemas de Información,0.66,0,0
U201900062,Claudia Carranza Mamani,2019,10,Comunicación Audiovisual y Medios Interactivos,0.5,0,0
U202500063,Renata Guerrero Ibarra,2025,1,Administración,0.65,1,0
U201800064,Romina Castro Paredes,2018,10,Comunicación y Marketing,0.82,0,0
U202400065,Pablo Chavez Rivera,2024,2,Comunicación Audiovisual y Medios Interactivos,0.51,0,0
U202500066,Ariana Huamani Delgado,2025,1,Economía y Ciencia de Datos,0.78,0,0
U201800067,Andrea Vargas Rivera,2018,10,Ingeniería de Ciberseguridad,0.35,1,0
U202100068,Bruno Mendoza Arreola,2021,9,Relaciones Internacionales,0.94,0,0
U202500069,Mateo Lopez Cruz,2025,1,Comunicación Audiovisual y Medios Interactivos,0.37,0,0
U202300070,Alejandro Chavez Quispe,2023,5,Ingeniería de Ciberseguridad,0.63,0,0
U202300071,Gabriela Paredes Cruz,2023,4,Ingeniería Civil,0.3,0,0
U202400072,Giancarlo Dominguez Vega,2024,2,Comunicación y Marketing,0.3,0,0
U202400073,Mauro Vargas Vera,2024,2,Comunicación e Imagen Empresarial,0.56,1,0
U202500074,Romina Paredes Delgado,2025,1,Ingeniería de Gestión Empresarial,0.95,0,0
U202500075,Javier Morales Rivera,2025,1,Psicología Educacional,0.32,0,0
U202000076,Mariana Paredes Vega,2020,10,Administración y Finanzas,0.56,0,0
U202400077,Gonzalo Paredes Huamani,2024,2,Comunicación e Imagen Empresarial,0.37,0,0
U201700078,Fabrizio Paredes Romero,2017,10,Comunicación e Imagen Empresarial,0.41,0,0
U202300079,Alejandro Rojas Ibarra,2023,4,Ingeniería de Gestión Empresarial,0.95,0,0
U201800080,Gonzalo Guerrero Rivera,2018,10,Administración y Finanzas,0.64,0,0
U202000081,Alejandro Soto Cruz,2020,10,Contabilidad y Finanzas,0.61,0,0
U202400082,Camila Ramirez Silva,2024,3,Psicología Educacional,0.28,0,0
U201700083,Diego Mendoza Arreola,2017,10,Ingeniería de Sistemas de Información,0.5,0,0
U202000084,Daniel Chavez Castañeda,2020,10,Administración y Marketing,0.7,0,0
U202200085,Paula Medina Hernandez,2022,7,Ingeniería Industrial,0.78,1,0
U202400086,Carla Medina Valdez,2024,2,Economía y Ciencia de Datos,0.57,0,0
U202500087,Fabrizio Castro Delgado,2025,1,Contabilidad y Finanzas,0.77,0,0
U202500088,Rafael Ramirez Delgado,2025,1,Comunicación Audiovisual y Medios Interactivos,0.75,0,0
U202000089,Rafael Medina Palomino,2020,10,Ingeniería Civil,0.85,0,0
U202000090,Gabriela Huamani Escobar,2020,10,Administración y Negocios Internacionales,0.68,0,0
U202000091,Franco Ramirez Huamani,2020,10,Ingeniería Civil,0.65,0,0
U202000092,Romina Rojas Valdez,2020,10,Contabilidad y Administración,0.6,0,0
U201800093,Gonzalo Paredes Ibarra,2018,10,Ingeniería Civil,0.46,0,0
U202000094,Pablo Morales Arreola,2020,10,Ingeniería Industrial,0.66,0,0
U202000095,Santiago Perez Ibarra,2020,10,Comunicación e Imagen Empresarial,0.96,0,0
U202200096,Valeria Alvarez Huamani,2022,6,Ingeniería de Software,0.48,1,0
U201700097,Mariana Ramirez Aguilar,2017,10,Ingeniería Industrial,0.58,0,0
U202000098,Alonso Flores Castañeda,2020,10,Ingeniería Industrial,0.95,0,0
U201700099,Roxana Lopez Salas,2017,10,Ingeniería Industrial,0.6,0,0
U202200100,Ariana Salinas Vega,2022,7,Relaciones Internacionales,0.65,0,0
U202300101,Abril Garcia Arreola,2023,4,Ingeniería de Sistemas de Información,0.87,0,0
U202000102,Gonzalo Lopez Mamani,2020,10,Relaciones Internacionales,0.73,0,0
U202300103,Abril Torres Huamani,2023,4,Comunicación e Imagen Empresarial,0.45,0,0
U201700104,Jonatan Guerrero Ibarra,2017,10,Contabilidad y Administración,0.54,0,0
U202000105,Mauro Gomez Valdez,2020,10,Ingeniería Industrial,0.58,1,0
U201900106,Diego Huamani Campos,2019,10,Relaciones Internacionales,0.79,0,0
U202300107,Renata Ramirez Aguilar,2023,4,Ingeniería de Ciberseguridad,0.65,0,0
U202200108,Matias Perez Arreola,2022,7,Relaciones Internacionales,1,0,0
U201700109,Claudia Morales Ortega,2017,10,Administración y Negocios Internacionales,0.67,0,0
U202000110,Ignacio Torres Campos,2020,10,Ingeniería de Ciberseguridad,0.49,0,0
U202300111,Cesar Ramirez Ibarra,2023,5,Ingeniería Industrial,0.41,1,0
U202300112,Sofia Medina Huamani,2023,4,Administración,0.45,0,0
U202100113,Renata Cabrera Romero,2021,9,Economía y Ciencia de Datos,0.7,0,0
U202300114,Camila Gomez Valdez,2023,4,Administración y Finanzas,0.59,0,0
U202200115,Giancarlo Herrera Huamani,2022,7,Comunicación y Marketing,0.75,0,0
U201800116,Thiago Torres Rivera,2018,10,Comunicación y Periodismo,0.88,0,0
U201900117,Rafael Medina Escobar,2019,10,Ingeniería de Sistemas de Información,0.49,0,0
U202300118,Gonzalo Flores Vega,2023,5,Contabilidad y Administración,0.44,0,0
U202100119,Giancarlo Flores Hernandez,2021,9,Administración y Finanzas,0.94,0,0
U202500120,Liliana Mendoza Ortega,2025,1,Ingeniería de Software,0.26,0,0
U201700121,Belen Diaz Delgado,2017,10,Ingeniería de Gestión Empresarial,0.75,0,0
U202300122,Lucia Huamani Rivera,2023,5,Ingeniería de Sistemas de Información,0.67,0,0
U202200123,Daniel Salinas Hernandez,2022,6,Administración y Finanzas,0.79,0,0
U202000124,Giancarlo Perez Vera,2020,10,Ingeniería Civil,0.58,0,0
U202000125,Lucia Medina Silva,2020,10,Comunicación y Marketing,0.44,1,0
U201800126,Lucia Garcia Vega,2018,10,Ingeniería Civil,0.97,1,0
U201800127,Valentino Soto Castañeda,2018,10,Contabilidad y Finanzas,0.61,0,0
U202400128,Pablo Herrera Castañeda,2024,3,Contabilidad y Finanzas,0.9,0,0
U202200129,Natalia Dominguez Paredes,2022,6,Administración,0.4,0,0
U202400130,Carla Flores Vega,2024,2,Psicología Educacional,0.76,0,0
U202200131,Claudia Medina Castañeda,2022,7,Derecho,0.47,0,0
U202000132,Mauro Vargas Quispe,2020,10,Administración,0.69,0,0
U202500133,Roxana Diaz Delgado,2025,1,Ingeniería de Sistemas de Información,0.9,0,0
U201700134,Bruno Salinas Arreola,2017,10,Psicología Educacional,0.7,0,0
U201700135,Daniel Paredes Valdez,2017,10,Ingeniería de Ciberseguridad,0.92,0,0
U201800136,Marcos Vargas Delgado,2018,10,Relaciones Internacionales,0.36,0,0
U202400137,Laura Ramirez Cruz,2024,3,Administración y Negocios Internacionales,0.35,0,0
U202400138,Valeria Guerrero Huamani,2024,2,Comunicación y Marketing,1,0,0
U202000139,Isabella Dominguez Valdez,2020,10,Contabilidad y Administración,0.45,0,0
U201900140,Mariana Reyes Escobar,2019,10,Administración y Negocios Internacionales,0.57,0,0
U202100141,Isabella Reyes Mamani,2021,8,Derecho,0.71,0,0
U201800142,Emilia Rojas Campos,2018,10,Ingeniería de Ciberseguridad,0.79,1,0
U202300143,Roxana Lopez Ortega,2023,5,Ingeniería de Software,0.89,1,0
U201800144,Andrea Morales Escobar,2018,10,Ingeniería de Ciberseguridad,0.85,0,0
U202100145,Romina Carranza Ibarra,2021,9,Administración y Negocios Internacionales,0.47,0,0
U202100146,Daniel Garcia Castañeda,2021,8,Administración y Negocios Internacionales,0.36,1,0
U202200147,Emilia Mendoza Vera,2022,6,Derecho,0.86,0,0
U202100148,Giancarlo Guerrero Ortega,2021,9,Comunicación y Marketing,0.56,0,0
U202200149,Renata Dominguez Vega,2022,6,Administración,0.56,1,0
U201800150,Santiago Chavez Mamani,2018,10,Contabilidad y Administración,0.76,0,0
U202300151,Elisa Herrera Mamani,2023,4,Contabilidad y Administración,0.9,0,0
U202500152,Belen Herrera Aguilar,2025,1,Ingeniería de Gestión Empresarial,0.59,0,0
U201800153,Natalia Guerrero Arreola,2018,10,Administración,0.87,0,0
U202500154,Rafael Torres Palomino,2025,1,Administración y Marketing,0.76,0,0
U201700155,Valeria Herrera Campos,2017,10,Administración y Marketing,0.77,0,0
U202500156,Martin Rojas Valdez,2025,1,Ingeniería Industrial,0.65,0,0
U202200157,Fabrizio Reyes Delgado,2022,6,Ingeniería Civil,0.48,0,0
U201800158,Paula Mendoza Zapata,2018,10,Comunicación y Periodismo,0.46,0,0
U202500159,Mauro Lopez Rivera,2025,1,Relaciones Internacionales,0.63,0,0
U202200160,Roxana Soto Hernandez,2022,7,Comunicación y Periodismo,0,0,0
U202500161,Noelia Medina Romero,2025,1,Contabilidad y Finanzas,0.42,1,0
U202200162,Thiago Valverde Salas,2022,6,Comunicación y Marketing,0.76,0,0
U202500163,Giancarlo Garcia Ibarra,2025,1,Ingeniería de Software,0.26,0,0
U201800164,Gonzalo Soto Zapata,2018,10,Ingeniería de Gestión Empresarial,0.44,0,0
U202300165,Emilia Ramirez Rivera,2023,4,Contabilidad y Finanzas,0.22,0,0
U202500166,Claudia Diaz Hernandez,2025,1,Administración y Marketing,0.23,0,0
U201800167,Cesar Soto Aguilar,2018,10,Ingeniería de Sistemas de Información,0.92,0,0
U202400168,Belen Alvarez Romero,2024,2,Administración y Negocios Internacionales,0.27,0,0
U201800169,Gabriela Garcia Quispe,2018,10,Derecho,0.59,0,0
U202000170,Abril Cabrera Zapata,2020,10,Comunicación y Marketing,0.44,0,0
U201900171,Renata Torres Ortega,2019,10,Comunicación Audiovisual y Medios Interactivos,0.64,1,0
U202500172,Bruno Alvarez Rivera,2025,1,Administración y Negocios Internacionales,0.69,0,0
U202500173,Matias Vargas Rivera,2025,1,Ingeniería de Sistemas de Información,0.54,0,0
U202000174,Thiago Cabrera Vega,2020,10,Administración y Finanzas,0.71,0,0
U201700175,Angel Alvarez Mamani,2017,10,Comunicación y Marketing,0.85,0,0
U202000176,Abril Torres Silva,2020,10,Ingeniería de Gestión Empresarial,0.31,1,0
U202200177,Bruno Guerrero Vega,2022,6,Ingeniería Civil,0.37,0,0
U202100178,Mariana Herrera Aguilar,2021,8,Ingeniería de Software,0.47,1,0
U202000179,Diego Rojas Mamani,2020,10,Administración y Finanzas,0.63,0,0
U202500180,Matias Mendoza Vera,2025,1,Ingeniería de Ciberseguridad,0.66,0,0
U202500181,Fabrizio Guerrero Quispe,2025,1,Contabilidad y Finanzas,0.5,0,0
U202000182,Valentino Ramirez Romero,2020,10,Comunicación Audiovisual y Medios Interactivos,0.97,0,0
U202300183,Alonso Valverde Ortega,2023,5,Administración y Negocios Internacionales,0.65,0,0
U202100184,Valeria Paredes Ortega,2021,9,Comunicación y Marketing,0.51,0,0
U201800185,Valeria Morales Paredes,2018,10,Ingeniería Industrial,0.61,0,0
U202300186,Elisa Guerrero Huamani,2023,5,Comunicación y Marketing,0.81,1,0
U201700187,Noelia Mendoza Hernandez,2017,10,Administración,0.59,0,0
U202100188,Ariana Carranza Arreola,2021,8,Economía y Ciencia de Datos,0.55,0,0
U201900189,Pablo Castro Campos,2019,10,Administración y Marketing,0.88,1,0
U202200190,Marcos Morales Salas,2022,7,Administración y Finanzas,0.72,0,0
U202000191,Thiago Dominguez Huamani,2020,10,Administración y Negocios Internacionales,0.61,0,0
U202100192,Ignacio Alvarez Delgado,2021,9,Administración y Negocios Internacionales,0.57,0,0
U202400193,Jonatan Perez Paredes,2024,3,Psicología Educacional,0.85,1,0
U201800194,Roxana Reyes Ibarra,2018,10,Ingeniería de Gestión Empresarial,0.39,0,0
U201900195,Renata Diaz Vera,2019,10,Derecho,0.23,0,0
U201800196,Daniel Diaz Aguilar,2018,10,Ingeniería Industrial,0.65,0,0
U202300197,Franco Rojas Cruz,2023,5,Contabilidad y Finanzas,0.17,0,0
U202500198,Cesar Ramirez Paredes,2025,1,Contabilidad y Administración,0.83,1,0
U202400199,Gonzalo Medina Arreola,2024,3,Contabilidad y Administración,0.59,0,0
U202200200,Liliana Medina Vega,2022,6,Ingeniería de Software,0.42,0,0
U202100201,Sebastian Huamani Ortega,2021,9,Comunicación y Marketing,0.72,1,0
U201800202,Andrea Cabrera Cruz,2018,10,Administración y Marketing,0.74,0,0
U201800203,Bruno Carranza Campos,2018,10,Administración y Marketing,0.92,1,0
U202500204,Laura Medina Vega,2025,1,Comunicación e Imagen Empresarial,0.24,0,0
U201900205,Giancarlo Mendoza Ibarra,2019,10,Economía y Ciencia de Datos,0.59,0,0
U201700206,Franco Rojas Paredes,2017,10,Administración,0.62,0,0
U202400207,Aldo Huamani Cruz,2024,3,Ingeniería de Ciberseguridad,0.67,0,0
U202200208,Ariana Perez Vera,2022,7,Ingeniería Civil,0.53,0,0
U202000209,Marcos Gomez Aguilar,2020,10,Administración y Negocios Internacionales,0.45,0,0
U201900210,Angel Flores Castañeda,2019,10,Relaciones Internacionales,0.84,0,0
U202000211,Alonso Torres Escobar,2020,10,Comunicación Audiovisual y Medios Interactivos,1,0,0
U201800212,Mateo Castro Aguilar,2018,10,Ingeniería Civil,0.68,0,0
U202100213,Leonardo Herrera Delgado,2021,9,Ingeniería de Software,0.4,0,0
U201900214,Gonzalo Lopez Romero,2019,10,Ingeniería Civil,0.72,0,0
U202500215,Sofia Herrera Rivera,2025,1,Ingeniería de Gestión Empresarial,0.74,0,0
U202200216,Bruno Vargas Palomino,2022,6,Administración y Negocios Internacionales,0.45,1,0
U201700217,Romina Morales Paredes,2017,10,Contabilidad y Administración,0.9,1,0
U202400218,Matias Garcia Silva,2024,2,Psicología Educacional,0.41,0,0
U202300219,Alejandro Lopez Ibarra,2023,5,Contabilidad y Finanzas,1,0,0
U202300220,Ignacio Perez Vega,2023,4,Administración y Negocios Internacionales,0.58,0,0
U202500221,Gonzalo Chavez Cruz,2025,1,Ingeniería de Sistemas de Información,0.59,1,0
U202100222,Romina Castro Escobar,2021,9,Administración y Negocios Internacionales,0.66,0,0
U202100223,Paula Perez Vera,2021,8,Administración,0.8,0,0
U202500224,Lucia Alvarez Ibarra,2025,1,Ingeniería Industrial,1,1,0
U202500225,Rafael Flores Castañeda,2025,1,Contabilidad y Administración,0.21,1,0
U202000226,Romina Morales Mamani,2020,10,Comunicación Audiovisual y Medios Interactivos,0.53,1,0
U202300227,Daniel Reyes Silva,2023,4,Derecho,0.85,0,0
U201800228,Camila Cabrera Paredes,2018,10,Ingeniería Industrial,0.55,0,0
U202500229,Angel Flores Zapata,2025,1,Administración y Marketing,0.71,0,0
U201700230,Gabriela Rojas Vera,2017,10,Comunicación y Marketing,0.91,0,0
U202500231,Mariana Garcia Ibarra,2025,1,Derecho,0.59,0,0
U202000232,Javier Chavez Vera,2020,10,Administración y Negocios Internacionales,0.51,0,0
U202100233,Alejandro Soto Hernandez,2021,9,Economía y Ciencia de Datos,0.75,0,0
U202000234,Aldo Diaz Quispe,2020,10,Administración y Negocios Internacionales,1,1,0
U202200235,Fabrizio Torres Delgado,2022,7,Comunicación Audiovisual y Medios Interactivos,0.65,0,0
U202000236,Sebastian Diaz Delgado,2020,10,Ingeniería Industrial,0.84,0,0
U202100237,Claudia Salinas Ibarra,2021,9,Ingeniería Civil,0.61,0,0
U202200238,Gonzalo Rojas Aguilar,2022,7,Administración,0.77,0,0
U202100239,Noelia Mendoza Quispe,2021,8,Administración y Finanzas,0.66,0,0
U201900240,Carla Morales Ortega,2019,10,Administración y Finanzas,0.55,0,0
U202200241,Belen Cabrera Zapata,2022,6,Administración y Marketing,0.35,0,0
U201900242,Claudia Soto Delgado,2019,10,Ingeniería de Ciberseguridad,0.6,0,0
U202400243,Valentino Cabrera Salas,2024,2,Comunicación e Imagen Empresarial,0.78,0,0
U201700244,Abril Herrera Ortega,2017,10,Comunicación Audiovisual y Medios Interactivos,0.78,0,0
U202100245,Ignacio Rojas Aguilar,2021,9,Administración y Marketing,0.78,0,0
U202000246,Gabriela Gomez Campos,2020,10,Ingeniería de Software,0.6,0,0
U201900247,Mateo Medina Vera,2019,10,Derecho,0.49,0,0
U202300248,Alejandro Diaz Aguilar,2023,4,Ingeniería de Ciberseguridad,0.78,0,0
U202500249,Emilia Morales Hernandez,2025,1,Ingeniería de Sistemas de Información,0.88,0,0
U202500250,Carla Valverde Delgado,2025,1,Comunicación e Imagen Empresarial,0.34,0,0
U202500251,Abril Carranza Aguilar,2025,1,Ingeniería Industrial,0.48,0,0
U202300252,Liliana Lopez Campos,2023,4,Administración y Finanzas,0.76,0,0
U202000253,Alejandro Paredes Zapata,2020,10,Derecho,0.58,0,0
U202400254,Mateo Ramirez Escobar,2024,3,Ingeniería de Sistemas de Información,0.94,1,0
U202400255,Emilia Soto Escobar,2024,2,Ingeniería de Software,0.33,0,0
U202400256,Carla Lopez Valdez,2024,3,Ingeniería de Software,0.29,0,0
U201800257,Gabriela Herrera Delgado,2018,10,Comunicación Audiovisual y Medios Interactivos,0.46,0,0
U202000258,Lucia Flores Silva,2020,10,Ingeniería de Sistemas de Información,0.68,0,0
U202200259,Mauro Herrera Hernandez,2022,7,Ingeniería de Ciberseguridad,0.83,0,0
U202500260,Thiago Gomez Zapata,2025,1,Ingeniería de Gestión Empresarial,0.48,0,0
U202400261,Lucia Huamani Silva,2024,3,Comunicación y Marketing,0.27,0,0
U202200262,Noelia Diaz Paredes,2022,6,Comunicación y Periodismo,0.51,0,0
U201900263,Elisa Lopez Vega,2019,10,Ingeniería de Sistemas de Información,0.71,0,0
U201700264,Gonzalo Cabrera Paredes,2017,10,Ingeniería de Ciberseguridad,0.54,0,0
U202300265,Matias Salinas Salas,2023,5,Ingeniería de Sistemas de Información,0.86,0,0
U202000266,Bruno Perez Campos,2020,10,Administración,0.71,0,0
U202300267,Jonatan Vargas Mamani,2023,5,Administración y Marketing,0.77,0,0
U202200268,Mateo Torres Rivera,2022,6,Derecho,0.68,1,0
U201700269,Ignacio Mendoza Palomino,2017,10,Ingeniería de Gestión Empresarial,0.18,0,0
U202400270,Andrea Castro Rivera,2024,3,Ingeniería de Sistemas de Información,0.89,0,0
U202000271,Laura Vargas Aguilar,2020,10,Comunicación Audiovisual y Medios Interactivos,0.57,0,0
U201900272,Andrea Castro Quispe,2019,10,Psicología Educacional,0.79,0,0
U202400273,Matias Lopez Hernandez,2024,3,Ingeniería de Gestión Empresarial,0.66,0,0
U202400274,Rafael Castro Silva,2024,2,Ingeniería de Ciberseguridad,0.83,0,0
U201700275,Santiago Gomez Escobar,2017,10,Ingeniería de Software,0.23,0,0
U202500276,Elisa Gomez Vega,2025,1,Contabilidad y Administración,0.56,0,0
U202000277,Camila Garcia Romero,2020,10,Ingeniería Civil,0.75,0,0
U202200278,Franco Vargas Huamani,2022,6,Ingeniería de Software,0.7,0,0
U202200279,Valentino Rojas Rivera,2022,7,Administración y Negocios Internacionales,0.9,0,0
U202100280,Javier Castro Escobar,2021,8,Administración,0.38,0,0
U202400281,Sebastian Soto Vega,2024,2,Psicología Educacional,0.52,0,0
U201900282,Andrea Flores Silva,2019,10,Contabilidad y Finanzas,0.81,0,0
U202400283,Giancarlo Mendoza Campos,2024,2,Administración y Finanzas,0.9,0,0
U202200284,Liliana Castro Paredes,2022,7,Economía y Ciencia de Datos,0.62,0,0
U202100285,Renata Soto Rivera,2021,9,Comunicación e Imagen Empresarial,0.87,0,0
U202200286,Camila Flores Mamani,2022,6,Relaciones Internacionales,0.82,0,0
U202000287,Mateo Chavez Delgado,2020,10,Comunicación y Periodismo,0.93,0,0
U201700288,Liliana Morales Salas,2017,10,Economía y Ciencia de Datos,0.74,0,0
U202500289,Liliana Perez Mamani,2025,1,Administración,0.86,0,0
U202100290,Isabella Perez Rivera,2021,8,Comunicación y Periodismo,0.61,0,0
U201700291,Thiago Huamani Ortega,2017,10,Comunicación y Periodismo,0.56,0,0
U202100292,Alonso Castro Quispe,2021,8,Comunicación y Periodismo,0.75,0,0
U201900293,Liliana Mendoza Zapata,2019,10,Comunicación e Imagen Empresarial,0.31,0,0
U201800294,Isabella Guerrero Paredes,2018,10,Comunicación y Periodismo,0.91,0,0
U202100295,Aldo Chavez Rivera,2021,9,Ingeniería Industrial,0.77,0,0
U202200296,Renata Gomez Romero,2022,6,Contabilidad y Administración,0.87,0,0
U202400297,Matias Dominguez Cruz,2024,3,Administración y Finanzas,0.47,0,0
U201800298,Mateo Garcia Cruz,2018,10,Relaciones Internacionales,0.72,0,0
U202100299,Liliana Torres Delgado,2021,9,Comunicación y Periodismo,0.52,0,0
U202300300,Santiago Chavez Palomino,2023,5,Economía y Ciencia de Datos,0.36,0,0
U201800301,Leonardo Paredes Silva,2018,10,Psicología Educacional,0.67,1,0
U202300302,Claudia Rojas Vera,2023,4,Comunicación y Marketing,0.47,0,0
U202300303,Mateo Guerrero Paredes,2023,5,Comunicación e Imagen Empresarial,0.4,1,0
U202100304,Alejandro Garcia Hernandez,2021,9,Ingeniería de Software,0.39,0,0
U201900305,Claudia Vargas Valdez,2019,10,Administración,0.46,0,0
U202000306,Rafael Castro Arreola,2020,10,Administración,0.3,0,0
U202500307,Cesar Carranza Campos,2025,1,Ingeniería de Ciberseguridad,0.59,0,0
U202500308,Bruno Garcia Huamani,2025,1,Ingeniería de Software,0.58,0,0
U202200309,Aldo Castro Castañeda,2022,6,Ingeniería de Gestión Empresarial,0.73,0,0
U202000310,Alonso Huamani Escobar,2020,10,Comunicación y Periodismo,0.75,0,0
U202100311,Gonzalo Flores Mamani,2021,9,Comunicación Audiovisual y Medios Interactivos,0.76,0,0
U202400312,Cesar Vargas Mamani,2024,2,Administración y Negocios Internacionales,0.71,1,0
U201900313,Valeria Rojas Huamani,2019,10,Administración y Marketing,0.65,0,0
U201800314,Carla Carranza Castañeda,2018,10,Comunicación y Periodismo,0.22,0,0
U201700315,Leonardo Salinas Hernandez,2017,10,Ingeniería de Sistemas de Información,0.28,0,0
U202200316,Renata Cabrera Ibarra,2022,7,Contabilidad y Administración,0.81,0,0
U202100317,Santiago Mendoza Castañeda,2021,9,Administración y Negocios Internacionales,0.94,0,0
U201900318,Mauro Ramirez Palomino,2019,10,Ingeniería Civil,0.58,0,0
U202300319,Leonardo Dominguez Valdez,2023,4,Ingeniería de Gestión Empresarial,0.46,0,0
U201900320,Thiago Medina Castañeda,2019,10,Administración y Marketing,0.58,0,0
U202000321,Angel Alvarez Palomino,2020,10,Ingeniería Civil,0.74,0,0
U202100322,Gonzalo Gomez Delgado,2021,9,Contabilidad y Administración,0.8,0,0
U202300323,Lucia Torres Ibarra,2023,4,Ingeniería Industrial,1,0,0
